Month,Day,Year,QTR,On Peak Hours,Max On-Peak,Max Off-Peak,On-Peak,Off-Peak,Total,Average Temp
1,8,2009,1,15,576,582,10554,15302,25856,37.8
1,9,2009,1,15,572,564,10296,15010,25306,32.5
1,10,2009,1,15,544,512,9744,14042,23786,34.9
1,11,2009,1,15,538,514,9674,13896,23570,36.7
1,12,2009,1,15,570,568,10468,14782,25250,32
1,13,2009,1,15,576,562,10314,14964,25278,33.2
1,14,2009,1,15,562,544,10244,14640,24884,29.2
1,15,2009,1,15,560,554,10104,14662,24766,26
1,16,2009,1,15,554,550,10162,14606,24768,15.6
1,17,2009,1,15,554,528,9850,14520,24370,14.4
1,18,2009,1,15,550,530,9812,14578,24390,30.7
1,19,2009,1,15,548,532,9744,14504,24248,30.3
1,20,2009,1,15,546,534,9832,14558,24390,25.5
1,21,2009,1,15,566,548,10304,14546,24850,25.1
1,22,2009,1,15,608,568,10844,14890,25734,28.5
1,23,2009,1,15,574,554,10438,14900,25338,35.2
1,24,2009,1,15,550,530,9612,14456,24068,41.3
1,25,2009,1,15,548,526,9596,14316,23912,25.8
1,26,2009,1,15,574,570,10418,14916,25334,28
1,27,2009,1,15,590,580,10512,15226,25738,29.4
1,28,2009,1,15,586,566,10660,15158,25818,30.8
1,29,2009,1,15,574,582,10358,15288,25646,34
1,30,2009,1,15,580,578,10524,15268,25792,32.2
1,31,2009,1,15,564,546,10154,15058,25212,28.5
2,1,2009,1,15,592,556,10310,14964,25274,39.4
2,2,2009,1,15,590,574,10712,15494,26206,45.3
2,3,2009,1,15,590,584,10654,15190,25844,36
2,4,2009,1,15,620,584,10836,15294,26130,30.1
2,5,2009,1,15,598,588,10760,15706,26466,21.7
2,6,2009,1,15,582,586,10640,15448,26088,26.8
2,7,2009,1,15,564,554,10250,14850,25100,37.9
2,8,2009,1,15,574,552,10282,15220,25502,53.1
2,9,2009,1,15,606,596,10930,15504,26434,43
2,10,2009,1,15,596,586,10850,15726,26576,45.9
2,11,2009,1,15,620,594,11142,15822,26964,57.5
2,12,2009,1,15,596,580,10838,15742,26580,58.2
2,13,2009,1,15,584,574,10694,15374,26068,47.1
2,14,2009,1,15,488,520,8462,13720,22182,39.5
2,15,2009,1,15,472,468,8504,12642,21146,37.6
2,16,2009,1,15,488,474,8546,12830,21376,35.8
2,17,2009,1,15,590,564,10614,13810,24424,33.6
2,18,2009,1,15,594,586,10962,15224,26186,36.2
2,19,2009,1,15,596,606,10808,15854,26662,44.2
2,20,2009,1,15,584,584,10544,15592,26136,29.7
2,21,2009,1,15,556,548,10104,14916,25020,33.8
2,22,2009,1,15,566,548,10044,14900,24944,37.8
2,23,2009,1,15,594,580,10772,15388,26160,31.6
2,24,2009,1,15,604,594,10948,15704,26652,28.8
2,25,2009,1,15,596,574,10856,15348,26204,35.1
2,26,2009,1,15,608,600,10870,15404,26274,42.7
2,27,2009,1,15,604,590,10852,15682,26534,52.5
2,28,2009,1,15,560,550,10140,15058,25198,45.2
3,1,2009,1,15,572,550,10116,15092,25208,34.6
3,2,2009,1,15,566,568,10288,15366,25654,24.3
3,3,2009,1,15,586,580,10630,15146,25776,20.8
3,4,2009,1,15,598,570,10854,15016,25870,28.3
3,5,2009,1,15,608,606,10824,15732,26556,35.4
3,6,2009,1,15,592,600,10828,15924,26752,47.9
3,7,2009,1,15,552,556,10270,15104,25374,56
3,8,2009,1,15,562,564,10286,15278,25564,63.2
3,9,2009,1,15,612,606,10934,15698,26632,61.7
3,10,2009,1,15,578,588,10676,15594,26270,45
3,11,2009,1,15,614,594,11180,15506,26686,52.1
3,12,2009,1,15,568,590,8374,14366,22740,46.1
3,13,2009,1,15,466,464,8168,12192,20360,39
3,14,2009,1,15,444,454,7922,11976,19898,39.2
3,15,2009,1,15,556,550,10026,12974,23000,41.1
3,16,2009,1,15,592,592,10730,15660,26390,45.6
3,17,2009,1,15,598,582,10728,15334,26062,45.2
3,18,2009,1,15,622,590,11240,15584,26824,47.7
3,19,2009,1,15,602,614,10958,16178,27136,52.4
3,20,2009,1,15,594,594,10604,15782,26386,44.5
3,21,2009,1,15,568,558,10150,14870,25020,39.9
3,22,2009,1,15,580,556,10386,14970,25356,46.1
3,23,2009,1,15,604,598,10882,15610,26492,45.7
3,24,2009,1,15,590,594,10770,15666,26436,39.4
3,25,2009,1,15,608,582,10894,15498,26392,42.5
3,26,2009,1,15,598,590,10818,15616,26434,45.2
3,27,2009,1,15,616,590,11136,15710,26846,52
3,28,2009,1,15,576,556,10372,15440,25812,50.3
3,29,2009,1,15,592,558,10536,15396,25932,55.9
3,30,2009,1,15,598,580,10654,15698,26352,51.3
3,31,2009,1,15,600,592,10958,15364,26322,48.6
4,1,2009,2,15,630,614,11238,15594,26832,51.1
4,2,2009,2,15,614,612,11028,16214,27242,54.8
4,3,2009,2,15,606,586,10964,16046,27010,61.7
4,4,2009,2,15,568,562,10328,15170,25498,57.2
4,5,2009,2,15,568,572,10404,15268,25672,57.6
4,6,2009,2,15,614,602,11194,16056,27250,58.8
4,7,2009,2,15,574,562,10564,15314,25878,44.5
4,8,2009,2,15,614,576,11104,15404,26508,45.1
4,9,2009,2,15,610,600,11064,15674,26738,-99
4,10,2009,2,15,632,610,11152,15884,27036,57.4
4,11,2009,2,15,572,572,10366,15688,26054,55.7
4,12,2009,2,15,564,560,10286,15224,25510,47.6
4,13,2009,2,15,586,576,10718,15558,26276,46.4
4,14,2009,2,15,594,588,10772,15418,26190,47.1
4,15,2009,2,15,616,588,10980,15438,26418,46.5
4,16,2009,2,15,604,630,10918,15850,26768,49.7
4,17,2009,2,15,594,600,10900,15870,26770,56.3
4,18,2009,2,15,568,566,10378,15332,25710,61.7
4,19,2009,2,15,576,570,10508,15604,26112,61
4,20,2009,2,15,618,610,11218,16078,27296,53.5
4,21,2009,2,15,614,604,11170,15930,27100,57.5
4,22,2009,2,15,610,592,11116,15668,26784,51.6
4,23,2009,2,15,610,576,11134,15224,26358,54
4,24,2009,2,15,614,600,11174,15882,27056,57.6
4,25,2009,2,15,604,596,11138,15958,27096,68.1
4,26,2009,2,15,620,606,11294,16478,27772,75.8
4,27,2009,2,15,650,628,11788,16752,28540,74.8
4,28,2009,2,15,664,642,11822,16594,28416,75.9
4,29,2009,2,15,636,624,11380,16406,27786,63.1
