Date,HourOfDay,kWh,Month,Day,Year,FiscalYear,DayOfWeek
01/01/2013,0,0.0,2,2,4026,4026,4
01/01/2013,1,0.0,2,2,4026,4026,4
01/01/2013,2,0.0,2,2,4026,4026,4
01/01/2013,3,0.0,2,2,4026,4026,4
01/01/2013,4,0.0,2,2,4026,4026,4
01/01/2013,5,0.0,2,2,4026,4026,4
01/01/2013,6,0.0,2,2,4026,4026,4
01/01/2013,7,0.0,2,2,4026,4026,4
01/01/2013,8,0.0,2,2,4026,4026,4
01/01/2013,9,0.0,2,2,4026,4026,4
01/01/2013,10,0.0,2,2,4026,4026,4
01/01/2013,11,0.0,2,2,4026,4026,4
01/01/2013,12,0.0,2,2,4026,4026,4
01/01/2013,13,0.0,2,2,4026,4026,4
01/01/2013,14,0.0,2,2,4026,4026,4
01/01/2013,15,0.0,2,2,4026,4026,4
01/01/2013,16,0.0,2,2,4026,4026,4
01/01/2013,17,0.0,2,2,4026,4026,4
01/01/2013,18,0.0,2,2,4026,4026,4
01/01/2013,19,0.0,2,2,4026,4026,4
01/01/2013,20,0.0,2,2,4026,4026,4
01/01/2013,21,0.0,2,2,4026,4026,4
01/01/2013,22,0.0,2,2,4026,4026,4
01/01/2013,23,0.0,2,2,4026,4026,4
01/01/2014,0,13.600000000000001,2,2,4028,4028,6
01/01/2014,1,14.7,2,2,4028,4028,6
01/01/2014,2,14.399999999999999,2,2,4028,4028,6
01/01/2014,3,15.100000000000001,2,2,4028,4028,6
01/01/2014,4,15.2,2,2,4028,4028,6
01/01/2014,5,14.399999999999999,2,2,4028,4028,6
01/01/2014,6,14.899999999999999,2,2,4028,4028,6
01/01/2014,7,15.0,2,2,4028,4028,6
01/01/2014,8,14.0,2,2,4028,4028,6
01/01/2014,9,13.0,2,2,4028,4028,6
01/01/2014,10,10.7,2,2,4028,4028,6
01/01/2014,11,8.3,2,2,4028,4028,6
01/01/2014,12,8.6,2,2,4028,4028,6
01/01/2014,13,6.4,2,2,4028,4028,6
01/01/2014,14,7.8,2,2,4028,4028,6
01/01/2014,15,9.8,2,2,4028,4028,6
01/01/2014,16,11.8,2,2,4028,4028,6
01/01/2014,17,21.6,2,2,4028,4028,6
