Date,Use_kWh
2009-01-08,12671.0
2009-01-09,12659.0
2009-01-10,11910.0
2009-01-11,11772.0
2009-01-12,12613.0
2009-01-13,12647.0
2009-01-14,12437.0
2009-01-15,12390.0
2009-01-16,12379.0
2009-01-17,12186.0
2009-01-18,12193.0
2009-01-19,12126.0
2009-01-20,12198.0
2009-01-21,12422.0
2009-01-22,12868.0
2009-01-23,12666.0
2009-01-24,12038.0
2009-01-25,11960.0
2009-01-26,12649.0
2009-01-27,12875.0
2009-01-28,12909.0
2009-01-29,12819.0
2009-01-30,12894.0
2009-01-31,12610.0
2009-02-01,12630.0
2009-02-02,13106.0
2009-02-03,12927.0
2009-02-04,13059.0
2009-02-05,13229.0
2009-02-06,13054.0
2009-02-07,12545.0
2009-02-08,12756.0
2009-02-09,13206.0
2009-02-10,13282.0
2009-02-11,13482.0
2009-02-12,13300.0
2009-02-13,13037.0
2009-02-14,11136.0
2009-02-15,10572.0
2009-02-16,10688.0
2009-02-17,12173.0
2009-02-18,13081.0
2009-02-19,13333.0
2009-02-20,13076.0
2009-02-21,12509.0
2009-02-22,12472.0
2009-02-23,13073.0
2009-02-24,13330.0
2009-02-25,13106.0
2009-02-26,13141.0
2009-02-27,13254.0
2009-02-28,12605.0
2009-03-01,12606.0
2009-03-02,12825.0
2009-03-03,12887.0
2009-03-04,12930.0
2009-03-05,13279.0
2009-03-06,13375.0
2009-03-07,12689.0
2009-03-08,12286.0
2009-03-09,13303.0
2009-03-10,13147.0
2009-03-11,13339.0
2009-03-12,11439.0
2009-03-13,10168.0
2009-03-14,9956.0
2009-03-15,11436.0
2009-03-16,13196.0
2009-03-17,13033.0
2009-03-18,13390.0
2009-03-19,13580.0
2009-03-20,13207.0
2009-03-21,12510.0
2009-03-22,12675.0
2009-03-23,13236.0
2009-03-24,13228.0
2009-03-25,13188.0
2009-03-26,13216.0
2009-03-27,13419.0
2009-03-28,12913.0
2009-03-29,12963.0
2009-03-30,13180.0
2009-03-31,13159.0
2009-04-01,13404.0
2009-04-02,13622.0
2009-04-03,13513.0
2009-04-04,12753.0
2009-04-05,12835.0
2009-04-06,13619.0
2009-04-07,12952.0
2009-04-08,13249.0
2009-04-09,13367.0
2009-04-10,13507.0
2009-04-11,13041.0
2009-04-12,12753.0
2009-04-13,13141.0
2009-04-14,13099.0
2009-04-15,13203.0
2009-04-16,13373.0
2009-04-17,13392.0
2009-04-18,12851.0
2009-04-19,13058.0
2009-04-20,13637.0
2009-04-21,13566.0
2009-04-22,13388.0
2009-04-23,13181.0
2009-04-24,13511.0
2009-04-25,13551.0
2009-04-26,13878.0
2009-04-27,14278.0
2009-04-28,14207.0
2009-04-29,13897.0
2009-04-30,13755.0
2009-05-01,13917.0
2009-05-02,13350.0
2009-05-03,13203.0
2009-05-04,13534.0
2009-05-05,13450.0
2009-05-06,13505.0
2009-05-07,14072.0
2009-05-08,14042.0
2009-05-09,13987.0
2009-05-10,13430.0
2009-05-11,13566.0
2009-05-12,13216.0
2009-05-13,13298.0
2009-05-14,13983.0
2009-05-15,14215.0
2009-05-16,13569.0
2009-05-17,13121.0
2009-05-18,13347.0
2009-05-19,13501.0
2009-05-20,13651.0
2009-05-21,13827.0
2009-05-22,14163.0
2009-05-23,13982.0
2009-05-24,14015.0
2009-05-25,14013.0
2009-05-26,13956.0
2009-05-27,13901.0
2009-05-28,14250.0
2009-05-29,14550.0
2009-05-30,13605.0
2009-05-31,13572.0
2009-06-01,14062.0
2009-06-02,14602.0
2009-06-03,15359.0
2009-06-04,14761.0
2009-06-05,14274.0
2009-06-06,13768.0
2009-06-07,14191.0
2009-06-08,15206.0
2009-06-09,15677.0
2009-06-10,15183.0
2009-06-11,15100.0
2009-06-12,14608.0
2009-06-13,13715.0
2009-06-14,13789.0
2009-06-15,14388.0
2009-06-16,14500.0
2009-06-17,14237.0
2009-06-18,15648.0
2009-06-19,15732.0
2009-06-20,15044.0
2009-06-21,15131.0
2009-06-22,15581.0
2009-06-23,15551.0
2009-06-24,15656.0
2009-06-25,16017.0
2009-06-26,16449.0
2009-06-27,15265.0
2009-06-28,14945.0
2009-06-29,15646.0
2009-06-30,15756.0
2009-07-01,15798.0
2009-07-02,15615.0
2009-07-03,14877.0
2009-07-04,14959.0
2009-07-05,14709.0
2009-07-06,15422.0
2009-07-07,15702.0
2009-07-08,15363.0
2009-07-09,15717.0
2009-07-10,15724.0
2009-07-11,15384.0
2009-07-12,15720.0
2009-07-13,15897.0
2009-07-14,15805.0
2009-07-15,15983.0
2009-07-16,16677.0
2009-07-17,16615.0
2009-07-18,15671.0
2009-07-19,15504.0
2009-07-20,16140.0
2009-07-21,16140.0
2009-07-22,16506.0
2009-07-23,16981.0
2009-07-24,16267.0
2009-07-25,15939.0
2009-07-26,16066.0
2009-07-27,16773.0
2009-07-28,17035.0
2009-07-29,17011.0
2009-07-30,16809.0
2009-07-31,16934.0
2009-08-01,16262.0
2009-08-02,16511.0
2009-08-03,16606.0
2009-08-04,16722.0
2009-08-05,16597.0
2009-08-06,16662.0
2009-08-07,15823.0
2009-08-08,15895.0
2009-08-09,16747.0
2009-08-10,17398.0
2009-08-11,17648.0
2009-08-12,17126.0
2009-08-13,17058.0
2009-08-14,17137.0
2009-08-15,16678.0
2009-08-16,16501.0
2009-08-17,17286.0
2009-08-18,17399.0
2009-08-19,17498.0
2009-08-20,17676.0
2009-08-21,17589.0
2009-08-22,16791.0
2009-08-23,16097.0
2009-08-24,16475.0
2009-08-25,16652.0
2009-08-26,17058.0
2009-08-27,17089.0
2009-08-28,17230.0
2009-08-29,16470.0
2009-08-30,15809.0
2009-08-31,15745.0
2009-09-01,15566.0
2009-09-02,15536.0
2009-09-03,15776.0
2009-09-04,15927.0
2009-09-05,15631.0
2009-09-06,15671.0
2009-09-07,15921.0
2009-09-08,15378.0
2009-09-09,14859.0
2009-09-10,14723.0
2009-09-11,14489.0
2009-09-12,14279.0
2009-09-13,14351.0
2009-09-14,14955.0
2009-09-15,15038.0
2009-09-16,14884.0
2009-09-17,14912.0
2009-09-18,15023.0
2009-09-19,14198.0
2009-09-20,14161.0
2009-09-21,14800.0
2009-09-22,15091.0
2009-09-23,15097.0
2009-09-24,15247.0
2009-09-25,14722.0
2009-09-26,14401.0
2009-09-27,14577.0
2009-09-28,14702.0
2009-09-29,14471.0
2009-09-30,14573.0
2009-10-01,14440.0
2009-10-02,14568.0
2009-10-03,14108.0
2009-10-04,13823.0
2009-10-05,14217.0
2009-10-06,14482.0
2009-10-07,13284.0
2009-10-08,13850.0
2009-10-09,14541.0
2009-10-10,14239.0
2009-10-11,13530.0
2009-10-12,13530.0
2009-10-13,14167.0
2009-10-14,14142.0
2009-10-15,14315.0
2009-10-16,13844.0
2009-10-17,13116.0
2009-10-18,13040.0
2009-10-19,13722.0
2009-10-20,13854.0
2009-10-21,14001.0
2009-10-22,14176.0
2009-10-23,14164.0
2009-10-24,14238.0
2009-10-25,13591.0
2009-10-26,13994.0
2009-10-27,14304.0
2009-10-28,14304.0
2009-10-29,14398.0
2009-10-30,14255.0
2009-10-31,14017.0
2009-11-01,14125.0
2009-11-02,14205.0
2009-11-03,14345.0
2009-11-04,14125.0
2009-11-05,14305.0
2009-11-06,13912.0
2009-11-07,13408.0
2009-11-08,13699.0
2009-11-09,14506.0
2009-11-10,14578.0
2009-11-11,13899.0
2009-11-12,14087.0
2009-11-13,14067.0
2009-11-14,13555.0
2009-11-15,13344.0
2009-11-16,14147.0
2009-11-17,13966.0
2009-11-18,14059.0
2009-11-19,14586.0
2009-11-20,14041.0
2009-11-21,13456.0
2009-11-22,13565.0
2009-11-23,14249.0
2009-11-24,13839.0
2009-11-25,13877.0
2009-11-26,13701.0
2009-11-27,13372.0
2009-11-28,13169.0
2009-11-29,13285.0
2009-11-30,13883.0
2009-12-01,13761.0
2009-12-02,13926.0
2009-12-03,14237.0
2009-12-04,13838.0
2009-12-05,13561.0
2009-12-06,13197.0
2009-12-07,13650.0
2009-12-08,13759.0
2009-12-09,13693.0
2009-12-10,13356.0
2009-12-11,13716.0
2009-12-12,13288.0
2009-12-13,13499.0
2009-12-14,13743.0
2009-12-15,13635.0
2009-12-16,13278.0
2009-12-17,13480.0
2009-12-18,13617.0
2009-12-19,13427.0
2009-12-20,13201.0
2009-12-21,13328.0
2009-12-22,12994.0
2009-12-23,12926.0
2009-12-24,12982.0
2009-12-25,12908.0
2009-12-26,12635.0
2009-12-27,12540.0
2009-12-28,12946.0
2009-12-29,13110.0
2009-12-30,13094.0
2009-12-31,13122.0
2010-01-01,12643.0
2010-01-02,12633.0
2010-01-03,12643.0
2010-01-04,12840.0
2010-01-05,12759.0
2010-01-06,13097.0
2010-01-07,13394.0
2010-01-08,13458.0
2010-01-09,13176.0
2010-01-10,13228.0
2010-01-11,13567.0
2010-01-12,13830.0
2010-01-13,13924.0
2010-01-14,14000.0
2010-01-15,13722.0
2010-01-16,13116.0
2010-01-17,13197.0
2010-01-18,13359.0
2010-01-19,13717.0
2010-01-20,13568.0
2010-01-21,13802.0
2010-01-22,13825.0
2010-01-23,13087.0
2010-01-24,13365.0
2010-01-25,13914.0
2010-01-26,13702.0
2010-01-27,13546.0
2010-01-28,13827.0
2010-01-29,13666.0
2010-01-30,13348.0
2010-01-31,13210.0
2010-02-01,13762.0
2010-02-02,13921.0
2010-02-03,13667.0
2010-02-04,13905.0
2010-02-05,13616.0
2010-02-06,13512.0
2010-02-07,13300.0
2010-02-08,13493.0
2010-02-09,13413.0
2010-02-10,13224.0
2010-02-11,13312.0
2010-02-12,13414.0
2010-02-13,13167.0
2010-02-14,13153.0
2010-02-15,13287.0
2010-02-16,12182.0
2010-02-17,13490.0
2010-02-18,13641.0
2010-02-19,12899.0
2010-02-20,12923.0
2010-02-21,12943.0
2010-02-22,13268.0
2010-02-23,13235.0
2010-02-24,13173.0
2010-02-25,13385.0
2010-02-26,13303.0
2010-02-27,12769.0
2010-02-28,12787.0
2010-03-01,13265.0
2010-03-02,13350.0
2010-03-03,13274.0
2010-03-04,13187.0
2010-03-05,13230.0
2010-03-06,12911.0
2010-03-07,12838.0
2010-03-08,13335.0
2010-03-09,13541.0
2010-03-10,13370.0
2010-03-11,13103.0
2010-03-12,13580.0
2010-03-13,12706.0
2010-03-14,11553.0
2010-03-15,11915.0
2010-03-16,12617.0
2010-03-17,12938.0
2010-03-18,12852.0
2010-03-19,12698.0
2010-03-20,12163.0
