,Date,Use_kWh,AvgTempF,AvgDewPF
0,2009-01-08,12671.0,37.8,25.2
1,2009-01-09,12659.0,32.5,14.6
2,2009-01-10,11910.0,34.9,21.4
3,2009-01-11,11772.0,36.7,29.7
4,2009-01-12,12613.0,32.0,18.1
5,2009-01-13,12647.0,33.2,25.4
6,2009-01-14,12437.0,29.2,11.2
7,2009-01-15,12390.0,26.0,9.4
8,2009-01-16,12379.0,15.6,-6.9
9,2009-01-17,12186.0,14.4,-4.9
10,2009-01-18,12193.0,30.7,10.3
11,2009-01-19,12126.0,30.3,22.1
12,2009-01-20,12198.0,25.5,11.9
13,2009-01-21,12422.0,25.1,5.4
14,2009-01-22,12868.0,28.5,11.1
15,2009-01-23,12666.0,35.2,21.7
16,2009-01-24,12038.0,41.3,23.4
17,2009-01-25,11960.0,25.8,7.0
18,2009-01-26,12649.0,28.0,13.0
19,2009-01-27,12875.0,29.4,21.6
20,2009-01-28,12909.0,30.8,29.1
21,2009-01-29,12819.0,34.0,20.9
22,2009-01-30,12894.0,32.2,21.6
23,2009-01-31,12610.0,28.5,6.6
24,2009-02-01,12630.0,39.4,19.4
25,2009-02-02,13106.0,45.3,28.6
26,2009-02-03,12927.0,36.0,27.0
27,2009-02-04,13059.0,30.1,15.3
28,2009-02-05,13229.0,21.7,1.3
29,2009-02-06,13054.0,26.8,7.2
30,2009-02-07,12545.0,37.9,24.6
31,2009-02-08,12756.0,53.1,32.7
32,2009-02-09,13206.0,43.0,28.3
33,2009-02-10,13282.0,45.9,34.4
34,2009-02-11,13482.0,57.5,45.7
35,2009-02-12,13300.0,58.2,34.7
36,2009-02-13,13037.0,47.1,19.8
37,2009-02-14,11136.0,39.5,23.9
38,2009-02-15,10572.0,37.6,22.1
39,2009-02-16,10688.0,35.8,17.4
40,2009-02-17,12173.0,33.6,13.2
41,2009-02-18,13081.0,36.2,26.5
42,2009-02-19,13333.0,44.2,33.4
43,2009-02-20,13076.0,29.7,4.6
44,2009-02-21,12509.0,33.8,10.1
45,2009-02-22,12472.0,37.8,23.8
46,2009-02-23,13073.0,31.6,10.4
47,2009-02-24,13330.0,28.8,7.0
48,2009-02-25,13106.0,35.1,14.2
49,2009-02-26,13141.0,42.7,23.8
50,2009-02-27,13254.0,52.5,40.2
51,2009-02-28,12605.0,45.2,32.5
52,2009-03-01,12606.0,34.6,26.9
53,2009-03-02,12825.0,24.3,14.6
54,2009-03-03,12887.0,20.8,1.0
55,2009-03-04,12930.0,28.3,4.7
56,2009-03-05,13279.0,35.4,19.8
57,2009-03-06,13375.0,47.9,31.8
58,2009-03-07,12689.0,56.0,44.5
59,2009-03-08,12286.0,63.2,47.5
60,2009-03-09,13303.0,61.7,41.5
61,2009-03-10,13147.0,45.0,32.9
62,2009-03-11,13339.0,52.1,42.6
63,2009-03-12,11439.0,46.1,15.5
64,2009-03-13,10168.0,39.0,24.1
65,2009-03-14,9956.0,39.2,33.2
66,2009-03-15,11436.0,41.1,37.2
67,2009-03-16,13196.0,45.6,40.7
68,2009-03-17,13033.0,45.2,38.9
69,2009-03-18,13390.0,47.7,41.9
70,2009-03-19,13580.0,52.4,43.8
71,2009-03-20,13207.0,44.5,27.1
72,2009-03-21,12510.0,39.9,17.8
73,2009-03-22,12675.0,46.1,25.2
74,2009-03-23,13236.0,45.7,18.4
75,2009-03-24,13228.0,39.4,5.8
76,2009-03-25,13188.0,42.5,15.2
77,2009-03-26,13216.0,45.2,35.4
78,2009-03-27,13419.0,52.0,44.6
79,2009-03-28,12913.0,50.3,47.4
80,2009-03-29,12963.0,55.9,49.0
81,2009-03-30,13180.0,51.3,29.8
82,2009-03-31,13159.0,48.6,29.6
83,2009-04-01,13404.0,51.1,43.0
84,2009-04-02,13622.0,54.8,52.3
85,2009-04-03,13513.0,61.7,53.2
86,2009-04-04,12753.0,57.2,29.2
87,2009-04-05,12835.0,57.6,29.8
88,2009-04-06,13619.0,58.8,45.9
89,2009-04-07,12952.0,44.5,23.5
90,2009-04-08,13249.0,45.1,22.2
